,X,Rk,Player,Nation,Pos,Squad,Rank,Age,Born,MP,Starts,Min,X90s,Goals,Shots,SoT,SoT.,G.Sh,G.SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp.,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp.,PasMedCmp,PasMedAtt,PasMedCmp.,PasLonCmp,PasLonAtt,PasLonCmp.,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,PasPress,Sw,PasCrs,CK,CkIn,CkOut,CkStr,PasGround,PasLow,PasHigh,PaswLeft,PaswRight,PaswHead,TI,PaswOther,PasCmp,PasOff,PasOut,PasInt,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri.,TklDriPast,Press,PresSucc,Press.,PresDef3rd,PresMid3rd,PresAtt3rd,Blocks,BlkSh,BlkShSv,BlkPass,Int,Tkl.Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,DriSucc,DriAtt,DriSucc.,DriPast,DriMegs,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,RecTarg,Rec,Rec.,RecProg,CrdY,CrdR,X2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon.
2,2,2,Yunis Abdelhamid,MAR,CB,Reims,B,34,1987,34,34,2983,33.1,0.06,0.54,0.18,33.3,0.11,0.33,18.7,0,0,0,38.7,47,82.4,835.8,287.9,10.2,11.4,89.9,22.4,25,89.4,5.65,9.15,61.7,0,0.24,2.45,0.18,0,2.72,47,44,3.02,2.45,0,5.68,1.66,0.06,0,0,0,0,35.3,3.78,7.95,31.7,12.1,1.48,0.42,0.12,38.7,0.15,0.97,1.24,0.88,0.63,0.42,0,0.09,0.03,0,0.09,0.03,0,0,0.03,0,0,0,1.87,1.39,1.24,0.6,0.03,0.39,0.82,48.1,0.42,13.6,4.89,35.9,7.61,5.14,0.88,1.87,0.79,0.06,1.09,3.11,4.98,3.2,0,57.3,8.28,32.8,25.7,2.9,0.85,54.5,0.48,0.66,72.7,0.48,0.03,35.7,204.7,115.5,2.75,0.73,0,0.45,0.39,37.5,36.3,96.9,0.36,0.15,0.03,0,1.3,0.73,0,0.06,1.39,0,0.03,0,6.77,2.02,1.36,59.8
3,10,10,Francesco Acerbi,ITA,CB,Lazio,B,34,1988,30,29,2536,28.2,0.14,0.57,0.25,43.8,0.25,0.57,9.2,0,0,0,64.3,71.1,90.3,1345.5,409.9,20.1,21.6,93.1,33.3,35.3,94.4,9.93,12.9,77.1,0,0.21,4.33,0.21,0,3.12,71.1,68.6,2.52,2.2,0.07,5.96,2.66,0.04,0,0,0,0,52.8,5.6,12.7,54.1,12.2,2.77,0.04,0.28,64.3,0.04,0.78,0.85,0.43,0.64,0.5,0.04,0,0.04,0.07,0,0.07,0.04,0,0,0,0.04,0,0.96,0.43,0.64,0.32,0,0.32,0.71,45,0.39,5.85,1.7,29.1,3.05,2.41,0.39,1.7,1.06,0,0.64,1.7,2.66,4.08,0.04,80.2,12.3,42,41.4,2.3,0.78,77.9,0.11,0.14,75,0.11,0,52.4,284.8,161.6,3.48,0.71,0,0.28,0.11,58.8,57.8,98.3,0.35,0.07,0.04,0,0.71,0.67,0.14,0.04,0.43,0.04,0,0,10.7,2.84,1.6,64
6,26,26,Nayef Aguerd,MAR,CB,Rennes,B,26,1996,31,31,2735,30.4,0.07,0.82,0.23,28,0.08,0.29,8.6,0,0,0,64.3,71.5,90,1482.1,482.3,16,17.1,93.4,33.3,34.8,95.5,14.8,18.9,78.4,0.07,0.1,3.65,0.07,0,2.93,71.5,69.3,2.2,2.04,0.03,6.12,3.26,0.07,0,0,0,0,59,3.22,9.31,60.6,7.3,1.94,0.16,0.13,64.3,0.1,0.76,1.22,0.53,0.39,0.33,0,0,0.03,0.03,0,0.13,0.1,0,0,0,0.03,0,0.99,0.39,0.56,0.43,0,0.23,0.59,38.9,0.36,6.25,2.17,34.7,3.36,2.76,0.13,0.99,0.43,0,0.56,1.78,2.76,5,0.07,81.2,9.51,41.3,42.7,1.88,1.15,79.1,0.16,0.2,83.3,0.16,0,57.1,279.3,149.8,2.43,0.16,0,0.23,0.2,62.2,61.3,98.6,0.07,0.1,0.03,0,0.59,0.53,0.03,0.07,0.39,0.03,0.07,0,7.63,3.55,1.51,70.1
8,31,31,Anel Ahmedhodzic,BIH,CB,Bordeaux,B,23,1999,15,15,1350,15,0,0.47,0.27,57.1,0,0,14.8,0,0,0,51.3,57.9,88.6,1028.1,308.7,19.1,20.2,94.7,24.3,26.5,91.5,7.53,10.1,74.3,0.07,0.67,2.07,0.4,0.13,3.73,57.9,55.7,2.2,1.47,0.07,6.73,1.87,0.47,0,0,0,0,46.4,4.27,7.27,8.87,44.3,2.73,0.73,0.07,51.3,0.07,0.93,0.73,0.6,1.33,1.2,0,0,0.07,0,0.07,0.07,0.07,0,0,0,0,0,2.33,1.47,1.8,0.47,0.07,0.87,1.8,48.1,0.93,9.93,3.33,33.6,5.8,3.13,1,1.27,0.53,0,0.73,2.27,4.6,3.07,0,67.8,8.8,33.9,34.5,4.53,1.13,65.7,0.13,0.33,40,0.2,0.07,44.3,275.8,163.1,4.13,0.8,0.33,0.27,0.47,45.8,45.1,98.5,0.2,0.4,0,0,1.4,0.73,0,0.47,1.47,0,0,0,10.4,1.67,0.67,71.4
9,33,33,Joseph Aidoo,GHA,CB,Celta Vigo,B,26,1995,32,30,2637,29.3,0,0.2,0.03,16.7,0,0,12.8,0,0,0,43.1,52,83,991.7,281.3,10.1,11.5,88.1,22.2,24.8,89.5,10.3,14.7,69.9,0,0.1,3.45,0.24,0.03,3.41,52,50.8,1.23,0.55,0.07,5.56,1.23,0.07,0,0,0,0,38.1,3.92,10,8.57,38.1,3.14,0.68,0.34,43.1,0.1,1.06,1.37,0.51,0.44,0.41,0,0,0.03,0,0,0.07,0.07,0,0,0,0,0,1.98,1.4,1.57,0.27,0.14,0.75,1.13,66.7,0.38,10.9,4.23,38.9,7.06,3.38,0.44,1.67,0.58,0,1.09,1.88,3.86,4.44,0.07,62,7.88,33.4,31.3,1.64,0.38,60.9,0.27,0.34,80,0.27,0.03,40.5,240.8,135,3.58,0.27,0.03,0.27,0.34,40.3,39.9,98.9,0.17,0.03,0,0,0.38,0.65,0.03,0.07,1.4,0,0,0.03,9.59,2.63,1.74,60.2
12,36,36,Kristoffer Ajer,NOR,CB,Brentford,B,24,1998,24,23,1995,22.2,0.05,0.32,0.05,14.3,0.14,1,9.1,0,0,0,28.3,39.3,72.1,522.6,237.3,11,13.3,82.8,13.3,16.7,79.7,3.33,6.89,48.4,0.14,0.27,2.16,0.45,0.05,3.38,39.3,32.5,6.85,0.36,0,6.22,0.68,0.54,0,0,0,0,20.2,9.77,9.32,1.89,26,2.84,6.49,0.09,28.3,0.18,1.04,1.49,1.8,1.26,0.9,0.18,0.05,0.05,0.05,0.05,0.27,0.14,0.05,0.05,0,0.05,0,1.8,0.99,1.13,0.54,0.14,0.9,1.62,55.6,0.72,9.28,3.29,35.4,4.82,3.15,1.31,1.62,0.59,0.05,1.04,2.21,4.01,3.65,0.05,49.9,5.27,20.8,24.1,8.29,1.4,43.2,0.5,0.77,64.7,0.5,0,25.3,152.5,92.2,3.29,1.22,0.09,0.59,0.5,26.8,24.1,89.7,0.81,0.23,0,0,0.81,0.86,0,0.54,0.99,0,0,0,8.38,2.84,1.71,62.4
13,38,38,Manuel Akanji,SUI,CB,Dortmund,A,26,1995,26,25,2261,25.1,0.04,0.56,0.12,21.4,0.07,0.33,10.4,0.04,0,0,71.8,79.1,90.7,1601.2,526.8,19.5,21.1,92.4,37.9,39.5,95.9,14.2,17.8,79.6,0,0.08,5.18,0.12,0,4.82,79.1,76.6,2.55,2.31,0,7.93,2.75,0.08,0,0,0,0,65.1,4.82,9.24,15.7,59.3,2.55,0.24,0.04,71.8,0.12,0.88,1.04,0.6,0.44,0.32,0.04,0.04,0.04,0,0,0,0,0,0,0,0,0,1.99,1.43,1.16,0.64,0.2,0.88,1.43,61.1,0.56,9.8,4.5,45.9,5.58,3.67,0.56,1.51,0.72,0,0.8,1.87,3.86,2.91,0,87.6,10.2,43.3,47.6,2.83,0.88,85.4,0.28,0.28,100,0.28,0,60.8,355.1,184.1,5.1,0.48,0,0.2,0.16,67.2,66.3,98.8,0.24,0.12,0,0,0.92,1.04,0.04,0.08,1.43,0,0,0.04,9.56,2.55,1.55,62.1
15,46,46,Kevin Akpoguma,NGA,CB,Hoffenheim,B,27,1995,26,19,1527,17,0.12,0.71,0.24,33.3,0.17,0.5,12.7,0,0,0,42.4,54.7,77.5,801.4,322.1,17.5,20.5,85.3,19.5,23.2,83.8,5,8.94,55.9,0.12,0.71,3.24,0.76,0.12,4.65,54.7,44.2,10.5,1,0.12,7.29,1.12,1.71,0,0,0,0,33.1,12,9.65,5.18,37.6,1.59,9.47,0.06,42.4,0.18,1.35,2.12,2.12,1.59,1.06,0.06,0.18,0.18,0.06,0.06,0.24,0.12,0,0,0.06,0,0.06,2.18,1.18,1,0.71,0.47,1.06,1.88,56.3,0.82,14.9,4.41,29.5,5.88,6,3.06,3.29,0.12,0,3.18,2.06,4.24,1.88,0.12,67.2,3.71,22.4,31.9,16.8,2.06,57.1,1.06,2.06,51.4,1.12,0.12,37.8,180.6,101.9,4,1.18,0.76,1.06,0.82,41.5,37.4,89.9,1.18,0.29,0,0,1.76,1.41,0.24,1.71,1.18,0,0.06,0,8.47,1.35,1.29,51.1
16,47,47,David Alaba,AUT,CB,Real Madrid,A,29,1992,30,30,2642,29.4,0.07,0.71,0.2,28.6,0.1,0.33,22,0.24,0,0,61.4,66.9,91.7,1143.1,371.3,25.5,26.5,96.5,27.6,29.3,94.3,7.35,9.69,75.8,0.1,0.75,4.49,0.61,0.17,3.47,66.9,64,2.86,1.36,0.07,5.37,0.65,1.09,0.1,0.1,0,0,57.1,4.18,5.58,55.2,8.54,1.36,1.16,0.1,61.4,0.17,0.48,0.65,0.68,1.56,1.26,0.07,0.03,0.14,0,0.07,0.27,0.24,0,0,0.03,0,0,0.85,0.61,0.44,0.34,0.07,0.31,0.54,56.3,0.24,7.59,2.82,37.2,3.4,3.4,0.78,1.26,0.58,0.03,0.68,1.39,2.24,2.28,0.07,73.8,8.74,33.6,36.5,10,1.67,70.7,0.17,0.27,62.5,0.17,0,54.4,331.9,181.2,4.29,1.5,0.27,0.41,0.24,59.4,57.4,96.7,1.84,0.07,0,0,0.61,0.44,0.07,1.09,0.61,0,0,0,6.43,0.78,0.78,50
18,54,54,Raul Albiol,ESP,CB,Villarreal,B,36,1985,28,28,2465,27.4,0,0.22,0.04,16.7,0,0,8.1,0,0,0,48.8,55.8,87.5,1160.7,323.3,10.3,11.2,92.5,26.3,28.2,93.3,11.6,15.3,76.3,0,0.15,2.3,0.04,0,2.45,55.8,53.8,1.93,1.75,0,5.99,1.93,0,0,0,0,0,41.9,4.23,9.6,8.83,43.1,2.85,0.11,0.04,48.8,0.04,0.77,0.66,0.66,0.33,0.26,0,0,0.07,0,0,0.07,0.04,0,0,0.04,0,0,0.99,0.55,0.62,0.36,0,0.33,0.51,64.3,0.18,6.13,2.48,40.5,3.25,2.66,0.22,1.39,0.58,0.04,0.8,1.35,2.34,5.22,0,64.9,10.5,38.2,30.7,1.24,0.29,63,0.18,0.29,62.5,0.18,0,40.7,268.6,153.7,2.63,0.07,0,0.15,0.15,44.5,44,99,0,0.29,0,0,0.73,0.47,0.07,0,0.55,0,0,0,8.83,1.93,1.02,65.4
